usdot_number,prefix,docket_number,legal_name,dba_name,city,state
3255315,MC,1025283,3 ROUTES TRANSPORT LLC,,CARTERET,NJ
2628319OOS,MC,914390,3 SEEDS TRANSPORTERS LLC,,LINDEN,NJ
3408483,MC,1098357,3 SONS LOGISTICS LLC,,MAHWAH,NJ
348420,MC,217931,"3-WAY TRANSPORT, INCORPORATED",,GLOUCESTER CITY,NJ
3866289,MC,1414050,300 PROPERTY MANAGEMENT & CONSTRUCTION LLC,300 TRANSPORTATION,SOMERSET,NJ
3449802,MC,1122774,303 TRANSPORT LLC,,ELIZABETH,NJ
437726,MC,400228,304 CORP.,,RIDGEFIELD,NJ
3574553,MC,1205253,306 BMI INC,,WOODBURY,NJ
4014475,MC,1512472,31 BELOW LLC,,WEST ORANGE,NJ
3393926,MC,1219522,31 DAYS TRUCKING LLC,,WILLINGBORO,NJ
3887725,MC,1428317,31 TRUCKING LLC,,OLD BRIDGE,NJ
3542545,MC,1197335,316 TRUCKING LLC,,BAYONNE,NJ
2208114,MC,774127,321 TRUCKING LLC,,UNION,NJ
3255015,MC,1025131,333 TRANSPORT LLC,,EDISON,NJ
3586946,MC,1213582,34 TRANSPORT LLC,,NEWARK,NJ
3214383,MC,1004552,36 NORTH TRUCKING LLC,,NEWARK,NJ
3553648,MC,1191007,360 TRANSPORT LLC,,TRENTON,NJ
4161621,MC,1599312,360 XPRESS INCORPORATED,,NEWARK,NJ
,MC,418729,363 CORP,R & R TRANSPORT,NUTLEY,NJ
3754583,MC,1334195,365 CAPITAL CONSULTANTS LLC,,RUTHERFORD,NJ
2444658OOS,MC,843563,365 DAYS MOVING INC,,GUTTENBERG,NJ
2586377OOS,MC,906493,365 DELIVERY LLC,,ENGLEWOOD,NJ
3630747,MC,1243809,365 DEMOLITION & CONSTRUCTION CORPORATION,,PHILLIPSBURG,NJ
3128488OOS,MC,91826,365 FREIGHT LLC,,EDISON,NJ
4038874,MC,1527842,365 TRANSPORT LLC,,PATERSON,NJ
4130012,MC,1581305,365 TRUCKING LLC,,CLIFTON,NJ
3486149,MC,1145841,365 TRUCKING LLC,NEED A TRUCK PICKUP & DELIVERY SERVICES,LIVINGSTON,NJ
3209748OOS,MC,1003198,365 XPRESS LLC,,WAYNE,NJ
3933671,MC,1458750,369 TRANSPORT CORP,,RAHWAY,NJ
3484091OOS,MC,1144475,379 FREIGHT LLC,,PATERSON,NJ
3836335,MC,1393502,38 SPECIAL TRUCKING & TRANSPORT,,TRENTON,NJ
3575973,MC,1206211,380 LOGISTICS LIMITED LIABILITY,,WEST NEW YORK,NJ
,MC,713855,3871 TRUCKING CORP,,CLIFFSIDE,NJ
1098410,MC,713850,3871 TRUCKING CORP,,PATERSON,NJ
4055377,MC,1537650,389 AUTO TRANSPORT LLC,,MATAWAN,NJ
3410570,MC,1099504,39 TRUCKING LLC,,PERTH AMBOY,NJ
3968711,MC,1482382,393 ROADWAYS LLC,,FLEMINGTON,NJ
3729519,MC,1315960,3A EXPRESS INC,,LINDEN,NJ
3552295,MC,1190126,3A VARGAS TRUCKING LLC,,ELIZABETH,NJ
3156089,MC,107864,3B LOGISTICS LLC,,METUCHEN,NJ
3482409,MC,1143387,3B TRUCKING LLC,,CAMDEN,NJ
307463,MC,206081,"3B TRUCKING, INC.",,POMPTON PLAINS,NJ
3708988,MC,1300918,3BR LOGISTICS CORP,,CLIFFSIDE PARK,NJ
3831096,MC,1389778,3BROTHER TRANSPORTATION INC,,HOWELL,NJ
3416453,MC,1431968,3BROTHERS LOGISTICS LLC,,FORDS,NJ
3496496,MC,1152522,3BROTHERS TRANSPORTATION LLC,,TRENTON,NJ
3907810,MC,1441603,3C SERVICES LLC,,PLAINFIELD,NJ
3215089,MC,1004953,3C'S EXPRESS TRANSPORT SERVICE LLC,,SICKLERVILLE,NJ
1451641,MC,548590,"3CM SOLUTIONS, LLC",BIG TAXI,CLIFTON,NJ
3988306,MC,1495397,3D CONSULTING GROUP LLC,,NEWARK,NJ
3823410,MC,1384287,3D EMPIRE LLC,,SOMERSET,NJ
3352731,MC,1072155,3D LOGISTICS LLC,,STANHOPE,NJ
898521,MC,312874,3D TRANSPORT,,MARLTON,NJ
1091568,MC,483518,"3D TRANSPORT TOMS RIVER, INC.",,TOMS RIVER,NJ
2037063,MC,714927,3D TRANSPORTATION SERVICES LLC,,VOORHEES,NJ
2975677,MC,11317,3D TRUCKING LLC,,WOODBRIDGE,NJ
3411467,MC,1100085,3D TRUCKING LLC,,HAMILTON,NJ
3779162,MC,1352197,3JS&Y TRUCKING CORP,,LITTLE FERRY,NJ
3732217,MC,1317921,3K LOGISTICS LLC,,GUTTENBERG,NJ
3932979,MC,1458262,3M & G LOGISTICS LLC,,NEWARK,NJ
3792767,FF,52548,3PL NJ CORP,,PERTH AMBOY,NJ
3792767,MC,1362052,3PL NJ CORP,,PERTH AMBOY,NJ
3131094,MC,93158,3PLE L&J LOGISTICS LLC,,ELIZABETH,NJ
